SeqNo,PKTYPE1,ZONE,PKROAD
4,身心障礙專用(機車),中山,中山北路二段62巷
4,身心障礙專用(機車),南港,興中路12巷
4,身心障礙專用(機車),中山,民權東路三段
4,身心障礙專用(機車),中山,伊通街
4,身心障礙專用(機車),松山,敦化北路155巷
4,身心障礙專用(機車),信義,永吉路
4,身心障礙專用(機車),內湖,瑞光路513巷22弄
4,身心障礙專用(機車),松山,寶清街30巷
4,身心障礙專用(機車),松山,三民路
4,身心障礙專用(機車),松山,八德路四段389巷
4,身心障礙專用(機車),萬華,西園路二段320巷73弄
4,身心障礙專用(機車),內湖,民權東路六段
4,身心障礙專用(機車),中正,青島東路
4,身心障礙專用(機車),中正,青島東路
4,身心障礙專用(機車),中山,天津街
4,身心障礙專用(機車),中山,中山北路三段36巷14弄
4,身心障礙專用(機車),萬華,西園路二段320巷55弄
4,身心障礙專用(機車),信義,松山路
4,身心障礙專用(機車),大安,通化街
4,身心障礙專用(機車),大安,通化街
4,身心障礙專用(機車),大安,信義路四段199巷
4,身心障礙專用(機車),南港,成功路一段
4,身心障礙專用(機車),中山,德惠街170巷
4,身心障礙專用(機車),南港,重陽路39巷
4,身心障礙專用(機車),士林,通河街323巷
4,身心障礙專用(機車),大同,南京西路
4,身心障礙專用(機車),信義,基隆路一段37巷
4,身心障礙專用(機車),士林,天母西路5巷
4,身心障礙專用(機車),士林,天母西路5巷
4,身心障礙專用(機車),中山,新生北路三段
4,身心障礙專用(機車),文山,景興路
4,身心障礙專用(機車),松山,三民路113巷
4,身心障礙專用(機車),中正,杭州北路
4,身心障礙專用(機車),中正,杭州北路
4,身心障礙專用(機車),中正,杭州北路
4,身心障礙專用(機車),士林,士東路
4,身心障礙專用(機車),松山,撫遠街389巷
4,身心障礙專用(機車),松山,撫遠街389巷
4,身心障礙專用(機車),士林,
4,身心障礙專用(機車),大同,萬全街1巷
4,身心障礙專用(機車),萬華,貴陽街二段
4,身心障礙專用(機車),大安,延吉街236巷
4,身心障礙專用(機車),中正,詔安街
4,身心障礙專用(機車),內湖,東湖路113巷49弄
4,身心障礙專用(機車),內湖,金湖路363巷
4,身心障礙專用(機車),文山,興隆路四段105巷
4,身心障礙專用(機車),中山,建國北路二段6巷
4,身心障礙專用(機車),中山,建國北路二段6巷
4,身心障礙專用(機車),南港,昆陽街
4,身心障礙專用(機車),文山,景興路202巷
4,身心障礙專用(機車),內湖,成功路五段
4,身心障礙專用(機車),中山,建國北路二段
4,身心障礙專用(機車),松山,撫遠街380巷
4,身心障礙專用(機車),內湖,江南街
4,身心障礙專用(機車),中正,忠孝東路一段84巷
4,身心障礙專用(機車),中正,忠孝東路一段84巷
4,身心障礙專用(機車),中正,南昌街二段71巷
4,身心障礙專用(機車),中正,羅斯福路三段244巷
4,身心障礙專用(機車),中正,青島東路
4,身心障礙專用(機車),中正,寧波西街
4,身心障礙專用(機車),大安,敦化南路二段265巷
4,身心障礙專用(機車),大安,和平東路三段
4,身心障礙專用(機車),大安,仁愛路四段27巷
4,身心障礙專用(機車),大安,復興南路二段
4,身心障礙專用(機車),北投,中央北路二段131巷
4,身心障礙專用(機車),南港,成福路
4,身心障礙專用(機車),南港,成福路
4,身心障礙專用(機車),中山,松江路235巷
4,身心障礙專用(機車),中正,思源路
4,身心障礙專用(機車),中山,中山北路二段44巷
4,身心障礙專用(機車),中山,中山北路二段44巷
4,身心障礙專用(機車),大同,五原路
4,身心障礙專用(機車),萬華,西寧南路
4,身心障礙專用(機車),萬華,西寧南路
4,身心障礙專用(機車),信義,林口街52巷
4,身心障礙專用(機車),文山,福興路95巷
4,身心障礙專用(機車),文山,福興路95巷
4,身心障礙專用(機車),中山,吉林路
4,身心障礙專用(機車),中正,忠孝東路一段70巷
4,身心障礙專用(機車),中正,寧波東街9巷
4,身心障礙專用(機車),中正,師大路
